,noise,model,transfer,balanced_accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,f1_score_max,f1_score_mean,f1_score_std
20,0.00,Resnet18,False,0.9318181818181819,0.890909090909091,0.03949578908405177,0.9459459459459459,0.9106034916904482,0.03779026781281185
60,0.00,Resnet18,True,0.9318181818181819,0.9045454545454547,0.030660767189163756,0.9459459459459459,0.9220994907951429,0.02478516045788447
46,0.00,Resnet34,False,0.9318181818181819,0.901818181818182,0.027386127875258334,0.9459459459459459,0.9273124055732751,0.017010017313825006
100,0.00,Resnet34,True,0.9318181818181819,0.9181818181818182,0.021799234196876016,0.9459459459459459,0.9341234402103966,0.016223325275365505
80,0.00,Resnet50,False,0.9318181818181819,0.898831168831169,0.029146369906588053,0.9459459459459459,0.9164909414909415,0.026545698783231163
6,0.00,Resnet50,True,0.9318181818181819,0.9118181818181819,0.02738612787525833,0.9459459459459459,0.9335235856974988,0.017010017313825006
30,0.01,Resnet18,False,0.9318181818181819,0.8936363636363636,0.039180658071836294,0.9459459459459459,0.906003861003861,0.038530454766820876
62,0.01,Resnet18,True,0.9318181818181819,0.8694805194805195,0.08000990830865545,0.9459459459459459,0.897909117909118,0.05801244645252018
51,0.01,Resnet34,False,0.9318181818181819,0.8772727272727272,0.06404092183456989,0.9459459459459459,0.8996334844160933,0.04354593707135493
102,0.01,Resnet34,True,0.9818181818181818,0.8809090909090909,0.07842720475881432,0.9738309738309738,0.9069140880010446,0.056876829220971
91,0.01,Resnet50,False,0.9318181818181819,0.8845454545454545,0.03811140693864473,0.9459459459459459,0.9107450618320183,0.029196404069519743
11,0.01,Resnet50,True,0.9318181818181819,0.9018181818181817,0.035442888526578085,0.9459459459459459,0.9275897636767201,0.01675534633373496
21,0.03,Resnet18,False,0.909090909090909,0.8372727272727273,0.055241767645161165,0.8620791844476056,0.8399017377769564,0.020371712687913067
61,0.03,Resnet18,True,0.8772727272727273,0.8345454545454546,0.03957417974487077,0.8620791844476056,0.8472369672712923,0.021543256228768758
53,0.03,Resnet34,False,1.0,0.8827272727272726,0.07409230338899991,1.0,0.8887040343999557,0.0730991499425116
103,0.03,Resnet34,True,0.9636363636363636,0.85,0.07078368864726108,0.9456456456456456,0.8792265264899536,0.04987577741737562
81,0.03,Resnet50,False,0.9454545454545455,0.8836363636363636,0.05983793539550554,0.9459459459459459,0.9001064696602453,0.04123582914273084
13,0.03,Resnet50,True,0.8772727272727273,0.8518181818181819,0.03410605724055284,0.8862612612612611,0.8607734558972948,0.017767328171696663
34,0.05,Resnet18,False,0.8818181818181818,0.795974025974026,0.05930175029563764,0.9125734430082256,0.8121968601488053,0.0607609222675803
78,0.05,Resnet18,True,0.8487012987012987,0.822857142857143,0.022032037881296925,0.8391891891891892,0.8201874054505632,0.015537353722721836
54,0.05,Resnet34,False,0.8454545454545455,0.8010389610389609,0.03875105752668779,0.8592342342342343,0.8207143454821473,0.03126134684219002
114,0.05,Resnet34,True,0.8818181818181818,0.8262337662337662,0.044532863314569134,0.9125734430082256,0.8437339609078739,0.048845704624276724
94,0.05,Resnet50,False,0.8454545454545455,0.8074025974025976,0.02943141972208982,0.8592342342342343,0.8235953631457736,0.023739725628651967
8,0.05,Resnet50,True,0.9136363636363637,0.8542857142857144,0.048868975416992616,0.9165463600246209,0.8758360241864078,0.035460034471963234
